TRP-10003|Noruega|Francia|467.1|3|en_curso|Oscar Nunez|11097684|54789005|28/06/2026
TRP-00273|Piura|Cajamarca|27.83|1|completado|Brayan Ramos|36505873|78456762|16/05/2026
TRP-00274|Cajamarca|Tacna|27.52|1|completado|Brayan Ramos|36505873|89567863|10/03/2026
TRP-00275|Arequipa|Cajamarca|27.32|3|completado|Brayan Ramos|36505873|90678964|11/04/2026
TRP-00276|Milan|Cusco|27.17|3|completado|Brayan Ramos|36505873|10789065|05/03/2026
TRP-00277|Amsterdam|Tacna|27.43|1|completado|Brayan Ramos|36505873|21890166|29/03/2026
TRP-00278|London|Berlin|26.99|1|completado|Brayan Ramos|36505873|32901267|12/05/2026
TRP-00279|Piura|Paris|23.48|2|completado|Brayan Ramos|36505873|43012368|24/04/2026
TRP-00280|Cajamarca|Paris|22.27|1|completado|Deyvis Castillo|75568538|54123469|17/04/2026
TRP-00281|Iquitos|Chiclayo|21.9|1|completado|Deyvis Castillo|75568538|65234570|05/03/2026
TRP-00282|Lima|Rome|22.2|3|completado|Deyvis Castillo|75568538|76345671|20/03/2026
TRP-00283|Arequipa|Chiclayo|21.69|3|completado|Deyvis Castillo|75568538|87456772|24/04/2026
TRP-00284|Barcelona|Chiclayo|22.08|2|completado|Deyvis Castillo|75568538|98567873|13/04/2026
TRP-00285|Chiclayo|Huancayo|20.82|3|completado|Deyvis Castillo|75568538|12678974|30/03/2026
TRP-00286|Cajamarca|Amsterdam|20.61|3|completado|Deyvis Castillo|75568538|23789075|09/05/2026
TRP-00287|Paris|Huanuco|20.42|1|completado|Deyvis Castillo|75568538|34890176|02/03/2026
TRP-00288|London|Trujillo|20.33|2|completado|Deyvis Castillo|75568538|45901277|01/05/2026
TRP-00289|Madrid|Huancayo|19.38|1|completado|Deyvis Castillo|75568538|56012378|07/04/2026
TRP-00290|Madrid|Paris|205.64|2|completado|Elvis Cardenas|67762195|67123479|12/03/2026
TRP-00291|Berlin|Lima|203.17|2|completado|Elvis Cardenas|67762195|78234580|30/04/2026
TRP-00292|London|Piura|204.58|1|completado|Elvis Cardenas|67762195|89345681|03/03/2026
TRP-00293|Tacna|Cajamarca|203.77|2|completado|Elvis Cardenas|67762195|90456782|01/03/2026
TRP-00294|Barcelona|Berlin|203.88|2|completado|Elvis Cardenas|67762195|10567883|06/04/2026
TRP-00295|Milan|Tacna|205.22|2|completado|Elvis Cardenas|67762195|21678984|19/04/2026
TRP-00296|Piura|Cajamarca|205.75|1|completado|Elvis Cardenas|67762195|32789085|01/04/2026
TRP-00297|Iquitos|Lima|205.38|2|completado|Elvis Cardenas|67762195|43890186|15/05/2026
TRP-00298|Lima|Berlin|203.2|2|completado|Elvis Cardenas|67762195|54901287|09/03/2026
TRP-00299|Cusco|Iquitos|203.41|2|completado|Elvis Cardenas|67762195|65012388|27/03/2026
TRP-00300|Huancayo|Huanuco|205.69|3|completado|Elvis Cardenas|67762195|76123489|23/03/2026
TRP-00301|Cajamarca|Barcelona|203.81|3|completado|Elvis Cardenas|67762195|87234590|02/03/2026
TRP-00302|Rome|Milan|69.96|1|completado|Alejandro Cano|61308924|98345691|25/04/2026
TRP-00303|Trujillo|Cusco|72.12|3|completado|Alejandro Cano|61308924|12456792|03/04/2026
TRP-00304|Piura|Huancayo|70.51|3|completado|Alejandro Cano|61308924|23567893|17/03/2026
TRP-00305|Amsterdam|Rome|70.5|3|completado|Alejandro Cano|61308924|34678994|19/05/2026
TRP-00306|Rome|Paris|71.4|1|completado|Alejandro Cano|61308924|45789095|17/03/2026
TRP-00307|Chiclayo|Huanuco|69.44|2|completado|Alejandro Cano|61308924|56890196|21/04/2026
TRP-00308|Piura|Iquitos|69.9|1|completado|Alejandro Cano|61308924|67901297|08/05/2026
TRP-00309|Huancayo|Tacna|69.46|1|completado|Alejandro Cano|61308924|78012398|29/04/2026
TRP-00310|Lima|Junin|70.18|3|completado|Alejandro Cano|61308924|89123499|04/03/2026
TRP-00311|Chiclayo|Cajamarca|71.78|3|completado|Alejandro Cano|61308924|90234500|11/04/2026
TRP-00312|Piura|Iquitos|69.75|3|completado|Alejandro Cano|61308924|10345601|18/03/2026
TRP-00313|Berlin|Huanuco|70.24|3|completado|Alejandro Cano|61308924|21456702|17/05/2026
TRP-00314|Cajamarca|Barcelona|72.12|1|completado|Alejandro Cano|61308924|32567803|17/04/2026
TRP-00315|Tacna|Barcelona|72.64|2|completado|Alejandro Cano|61308924|43678904|12/03/2026
TRP-00316|Trujillo|Huanuco|30.64|1|completado|Santiago Paico|45129649|54789005|20/03/2026
TRP-00317|Madrid|Paris|32.5|3|completado|Santiago Paico|45129649|65890106|30/04/2026
TRP-00318|Huanuco|Junin|30.9|1|completado|Santiago Paico|45129649|76901207|09/05/2026
TRP-00319|Lima|Iquitos|33.76|1|completado|Santiago Paico|45129649|87012308|13/03/2026
TRP-00320|Junin|Iquitos|207.18|2|completado|Damian Castillo|47394890|98123409|27/03/2026
TRP-00321|Huancayo|Cusco|209.12|2|completado|Damian Castillo|47394890|12234510|09/04/2026
TRP-00322|Cajamarca|Arequipa|209.56|3|completado|Damian Castillo|47394890|23345611|01/04/2026
TRP-00323|Junin|Huancayo|207.39|1|completado|Damian Castillo|47394890|34456712|26/03/2026
TRP-00324|Iquitos|Huanuco|209.27|2|completado|Damian Castillo|47394890|45567813|15/05/2026
TRP-00325|Lima|Huanuco|208.03|1|completado|Damian Castillo|47394890|56678914|16/04/2026
TRP-00326|Piura|Amsterdam|207.65|1|completado|Damian Castillo|47394890|67789015|18/04/2026
TRP-00327|Cajamarca|Milan|101.56|1|completado|Erik Apaza|86869225|78890116|13/03/2026
TRP-00328|Cusco|Milan|99.76|2|completado|Erik Apaza|86869225|89901217|23/04/2026
TRP-00329|Tacna|Barcelona|100.43|1|completado|Erik Apaza|86869225|90012318|07/03/2026
TRP-00330|Arequipa|Amsterdam|100.85|2|completado|Erik Apaza|86869225|11123419|10/05/2026
TRP-00331|Rome|Huancayo|100.81|3|completado|Erik Apaza|86869225|12345611|31/03/2026
TRP-00332|Iquitos|Cusco|98.69|3|completado|Erik Apaza|86869225|87654312|06/04/2026
TRP-00333|Madrid|Barcelona|136.55|3|completado|Edwin Castro|13066574|23456712|21/03/2026
TRP-00334|Lima|Piura|139.25|1|completado|Edwin Castro|13066574|34567813|13/05/2026
TRP-00335|Arequipa|Barcelona|139.11|2|completado|Edwin Castro|13066574|45678914|22/04/2026
TRP-00336|Madrid|Cajamarca|138.01|2|completado|Edwin Castro|13066574|56789015|14/03/2026
TRP-00337|Cusco|Milan|137.48|3|completado|Edwin Castro|13066574|67890116|29/04/2026
TRP-00338|Paris|Trujillo|138.64|1|completado|Edwin Castro|13066574|78901217|07/03/2026
TRP-00339|Rome|Cusco|137.86|3|completado|Edwin Castro|13066574|89012318|06/05/2026
TRP-00340|Huancayo|Amsterdam|138.83|3|completado|Edwin Castro|13066574|90123419|01/04/2026
TRP-00341|Cajamarca|London|138.32|1|completado|Edwin Castro|13066574|11223520|19/03/2026
TRP-00342|Milan|Tacna|136.33|3|completado|Edwin Castro|13066574|22334621|12/03/2026
TRP-00343|London|Madrid|138.99|2|completado|Edwin Castro|13066574|33445722|07/03/2026
TRP-00344|Cusco|Milan|134.63|2|completado|Edwin Castro|13066574|44556823|21/03/2026
TRP-00345|Iquitos|Barcelona|79.33|2|completado|Renato Karina|63732875|55667924|05/03/2026
TRP-00346|Tacna|Junin|80.8|3|completado|Renato Karina|63732875|66778025|06/04/2026
TRP-00347|Madrid|Rome|79.61|3|completado|Renato Karina|63732875|77889126|09/04/2026
TRP-00348|Arequipa|London|81.77|2|completado|Renato Karina|63732875|88990227|11/03/2026
TRP-00349|London|Madrid|82.59|2|completado|Renato Karina|63732875|99001328|17/04/2026
TRP-00350|Paris|Chiclayo|140.58|2|completado|Yimmy Mantilla|17257664|10111429|25/04/2026
TRP-00351|Berlin|Piura|139.95|2|completado|Yimmy Mantilla|17257664|21323530|21/04/2026
TRP-00352|Iquitos|Cajamarca|141.97|2|completado|Yimmy Mantilla|17257664|32434631|09/03/2026
TRP-00353|Paris|Huanuco|139.69|2|completado|Yimmy Mantilla|17257664|43545732|06/04/2026
TRP-00354|Trujillo|Junin|141.81|3|completado|Yimmy Mantilla|17257664|54656833|26/03/2026
TRP-00355|Rome|Tacna|138.11|3|completado|Ignacio Vasquez|62035408|65767934|17/03/2026
TRP-00356|Iquitos|Piura|136.56|2|completado|Ignacio Vasquez|62035408|76879035|18/05/2026
TRP-00357|Amsterdam|Huanuco|136.43|2|completado|Ignacio Vasquez|62035408|87990136|24/03/2026
TRP-00358|Berlin|Tacna|137.4|1|completado|Ignacio Vasquez|62035408|98901237|06/03/2026
TRP-00359|Amsterdam|Iquitos|47.75|1|completado|Ivan Morales|37762885|12012338|15/04/2026
TRP-00360|Lima|Piura|46.61|3|completado|Ivan Morales|37762885|23123439|28/03/2026
TRP-00361|Cajamarca|Arequipa|46.24|2|completado|Ivan Morales|37762885|34234540|16/04/2026
TRP-00362|Berlin|Huanuco|47.69|2|completado|Ivan Morales|37762885|45345641|15/05/2026
TRP-00363|Cusco|Cajamarca|46.75|3|completado|Ivan Morales|37762885|56456742|16/05/2026
TRP-00364|Barcelona|Huanuco|48.79|1|completado|Ivan Morales|37762885|67567843|11/05/2026
TRP-00365|Cusco|Tacna|48.08|2|completado|Ivan Morales|37762885|78678944|19/03/2026
TRP-00366|Huancayo|Milan|48.51|1|completado|Ivan Morales|37762885|89789045|12/04/2026
TRP-00367|Chiclayo|Amsterdam|48.99|2|completado|Ivan Morales|37762885|90890146|06/05/2026
TRP-00368|London|Junin|47.16|3|completado|Ivan Morales|37762885|10901247|13/05/2026
TRP-00369|Milan|Arequipa|45.83|1|completado|Ivan Morales|37762885|21012348|29/04/2026
TRP-00370|Piura|Paris|162.05|2|completado|Wilmer Velasquez|94880814|32123449|15/04/2026
TRP-00371|Arequipa|Paris|161.57|1|completado|Wilmer Velasquez|94880814|43234550|16/04/2026
TRP-00372|Amsterdam|Arequipa|161.88|2|completado|Wilmer Velasquez|94880814|54345651|01/04/2026
TRP-00373|Junin|Barcelona|160.74|1|completado|Wilmer Velasquez|94880814|65456752|02/03/2026
TRP-00374|Cajamarca|Berlin|162.21|2|completado|Wilmer Velasquez|94880814|76567853|17/04/2026
TRP-00375|Rome|Junin|160.38|3|completado|Wilmer Velasquez|94880814|87678954|24/04/2026
TRP-00376|Cajamarca|Milan|162.57|2|completado|Wilmer Velasquez|94880814|98789055|16/03/2026
TRP-00377|Trujillo|Huanuco|162.49|1|completado|Wilmer Velasquez|94880814|12890156|27/03/2026
TRP-00378|Huanuco|Piura|162.51|3|completado|Wilmer Velasquez|94880814|23901257|22/04/2026
TRP-00379|Huancayo|Cusco|160.4|2|completado|Wilmer Velasquez|94880814|34012358|08/04/2026
TRP-00380|Iquitos|Barcelona|162.81|1|completado|Wilmer Velasquez|94880814|45123459|16/03/2026
TRP-00381|Huancayo|Junin|160.22|2|completado|Wilmer Velasquez|94880814|56234560|02/05/2026
TRP-00382|Amsterdam|Huanuco|162.04|1|completado|Wilmer Velasquez|94880814|67345661|18/05/2026
TRP-00383|Barcelona|Iquitos|162.14|2|completado|Wilmer Velasquez|94880814|78456762|02/04/2026
TRP-00384|Tacna|Chiclayo|161.17|1|completado|Wilmer Velasquez|94880814|89567863|11/04/2026
TRP-00385|Madrid|Lima|155.92|3|completado|Wilmer Velasquez|94880814|90678964|22/03/2026
TRP-00386|Paris|Madrid|127.73|2|completado|Renato Nina|80681450|10789065|13/04/2026
TRP-00387|Arequipa|Chiclayo|129.12|1|completado|Renato Nina|80681450|21890166|07/03/2026
TRP-00388|Piura|Milan|128.62|3|completado|Renato Nina|80681450|32901267|06/03/2026
TRP-00389|Chiclayo|Cajamarca|127.27|3|completado|Renato Nina|80681450|43012368|05/05/2026
TRP-00390|Cajamarca|Madrid|128.29|3|completado|Renato Nina|80681450|54123469|14/05/2026
TRP-00391|Amsterdam|Tacna|128.2|2|completado|Renato Nina|80681450|65234570|26/04/2026
TRP-00392|Lima|Arequipa|129.89|2|completado|Renato Nina|80681450|76345671|28/04/2026
TRP-00393|Rome|Milan|128.31|3|completado|Renato Nina|80681450|87456772|18/03/2026
TRP-00394|Paris|Huanuco|128.3|3|completado|Renato Nina|80681450|98567873|31/03/2026
TRP-00395|Huancayo|Arequipa|129.27|1|completado|Renato Nina|80681450|12678974|14/04/2026
TRP-00396|Piura|Barcelona|194.35|3|completado|Raul Ortiz|48347507|23789075|19/05/2026
TRP-00397|Piura|Chiclayo|195.78|1|completado|Raul Ortiz|48347507|34890176|29/04/2026
TRP-00398|Paris|Cusco|194.92|3|completado|Raul Ortiz|48347507|45901277|14/04/2026
TRP-00399|Tacna|Amsterdam|195.57|2|completado|Raul Ortiz|48347507|56012378|14/03/2026
TRP-00400|Junin|Arequipa|194.44|3|completado|Raul Ortiz|48347507|67123479|10/03/2026
TRP-00401|Iquitos|Madrid|194.44|3|completado|Raul Ortiz|48347507|78234580|23/04/2026
TRP-00402|Paris|Barcelona|64.4|2|completado|Maicol Montoya|15327072|89345681|11/04/2026
TRP-00403|Paris|Iquitos|65.32|3|completado|Maicol Montoya|15327072|90456782|06/03/2026
TRP-00404|Huanuco|Barcelona|63.82|1|completado|Maicol Montoya|15327072|10567883|04/03/2026
TRP-00405|Madrid|Piura|64.99|2|completado|Maicol Montoya|15327072|21678984|23/03/2026
TRP-00406|Paris|Amsterdam|66.28|3|completado|Maicol Montoya|15327072|32789085|29/03/2026
TRP-00407|Tacna|Huanuco|63.99|1|completado|Maicol Montoya|15327072|43890186|10/04/2026
TRP-00408|Iquitos|Amsterdam|65.87|1|completado|Maicol Montoya|15327072|54901287|01/03/2026
TRP-00409|Lima|Junin|64.87|1|completado|Maicol Montoya|15327072|65012388|17/03/2026
TRP-00410|Junin|Iquitos|64.09|1|completado|Maicol Montoya|15327072|76123489|01/03/2026
TRP-00411|Cusco|Iquitos|66.25|2|completado|Maicol Montoya|15327072|87234590|06/03/2026
TRP-00412|Chiclayo|Amsterdam|64.54|2|completado|Maicol Montoya|15327072|98345691|28/04/2026
TRP-00413|Cusco|Barcelona|64.48|3|completado|Maicol Montoya|15327072|12456792|17/05/2026
TRP-00414|Milan|Chiclayo|113.15|1|completado|Emilio Urbina|32515762|23567893|10/03/2026
TRP-00415|Piura|Barcelona|113.71|3|completado|Emilio Urbina|32515762|34678994|27/03/2026
TRP-00416|Huanuco|Trujillo|113.51|3|completado|Emilio Urbina|32515762|45789095|12/04/2026
TRP-00417|Trujillo|Huancayo|111.46|3|completado|Emilio Urbina|32515762|56890196|03/05/2026
TRP-00418|Huancayo|Junin|112.42|1|completado|Emilio Urbina|32515762|67901297|07/05/2026
TRP-00419|Cajamarca|Huancayo|113.55|1|completado|Emilio Urbina|32515762|78012398|14/05/2026
TRP-00420|Rome|Cusco|113.96|3|completado|Emilio Urbina|32515762|89123499|13/04/2026
TRP-00421|Lima|London|111.69|3|completado|Emilio Urbina|32515762|90234500|12/03/2026
TRP-00422|Arequipa|Cajamarca|113.21|2|completado|Emilio Urbina|32515762|10345601|11/03/2026
TRP-00423|Cajamarca|Chiclayo|112.47|1|completado|Emilio Urbina|32515762|21456702|15/05/2026
TRP-00424|Chiclayo|Cajamarca|112.08|1|completado|Emilio Urbina|32515762|32567803|17/04/2026
TRP-00425|Paris|Milan|111.64|2|completado|Emilio Urbina|32515762|43678904|18/04/2026
TRP-00426|Junin|Paris|114.85|1|completado|Emilio Urbina|32515762|54789005|28/04/2026
TRP-00427|Amsterdam|Junin|172.81|2|completado|Renato Salas|21940722|65890106|13/05/2026
TRP-00428|Milan|Chiclayo|174.17|3|completado|Renato Salas|21940722|76901207|16/05/2026
TRP-00429|Lima|Piura|175.07|1|completado|Renato Salas|21940722|87012308|17/03/2026
TRP-00430|Paris|Amsterdam|175.29|1|completado|Renato Salas|21940722|98123409|16/04/2026
TRP-00431|Trujillo|Arequipa|173.52|3|completado|Renato Salas|21940722|12234510|19/04/2026
TRP-00432|Junin|Cusco|173.86|3|completado|Renato Salas|21940722|23345611|18/03/2026
TRP-00433|Paris|Trujillo|175.17|2|completado|Renato Salas|21940722|34456712|08/04/2026
TRP-00434|Junin|Paris|174.95|3|completado|Renato Salas|21940722|45567813|03/04/2026
TRP-00435|Piura|Lima|174.98|1|completado|Renato Salas|21940722|56678914|12/04/2026
TRP-00436|Lima|Cusco|173.49|1|completado|Renato Salas|21940722|67789015|01/05/2026
TRP-00437|Barcelona|Paris|171.29|1|completado|Renato Salas|21940722|78890116|14/04/2026
TRP-00438|Chiclayo|Trujillo|77.66|3|completado|Yair Achata|56164978|89901217|02/04/2026
TRP-00439|Tacna|Paris|76.78|1|completado|Yair Achata|56164978|90012318|28/03/2026
TRP-00440|Berlin|Chiclayo|76.64|1|completado|Yair Achata|56164978|11123419|06/03/2026
TRP-00441|Barcelona|Lima|78.07|3|completado|Yair Achata|56164978|12345611|24/04/2026
TRP-00442|Huancayo|Paris|79.01|1|completado|Yair Achata|56164978|87654312|20/05/2026
TRP-00443|Milan|Tacna|78.09|1|completado|Yair Achata|56164978|23456712|04/03/2026
TRP-00444|Madrid|Piura|78.74|1|completado|Yair Achata|56164978|34567813|27/04/2026
TRP-00445|Arequipa|Chiclayo|77.3|3|completado|Yair Achata|56164978|45678914|11/03/2026
TRP-00446|Huanuco|Arequipa|79.01|3|completado|Yair Achata|56164978|56789015|17/03/2026
TRP-00447|Junin|Amsterdam|78.04|2|completado|Yair Achata|56164978|67890116|08/05/2026
TRP-00448|Tacna|Junin|78.71|1|completado|Yair Achata|56164978|78901217|26/03/2026
TRP-00449|Chiclayo|Rome|77.03|2|completado|Yair Achata|56164978|89012318|30/04/2026
TRP-00450|Milan|Barcelona|78.37|2|completado|Yair Achata|56164978|90123419|05/04/2026
TRP-00451|Cusco|Tacna|77.76|2|completado|Yair Achata|56164978|11223520|29/03/2026
TRP-00452|Madrid|Huanuco|76.09|2|completado|Yair Achata|56164978|22334621|12/03/2026
TRP-00453|Huancayo|Junin|175.52|2|completado|Renato Velasquez|73683041|33445722|24/04/2026
TRP-00454|Cajamarca|Iquitos|176.43|3|completado|Renato Velasquez|73683041|44556823|18/03/2026
TRP-00455|Paris|Huancayo|175.62|2|completado|Renato Velasquez|73683041|55667924|10/03/2026
TRP-00456|Huancayo|Rome|175.78|1|completado|Renato Velasquez|73683041|66778025|09/04/2026
TRP-00457|Paris|Arequipa|175.5|3|completado|Renato Velasquez|73683041|77889126|03/05/2026
TRP-00458|Paris|Milan|176.9|1|completado|Renato Velasquez|73683041|88990227|02/04/2026
TRP-00459|Madrid|Barcelona|174.47|3|completado|Renato Velasquez|73683041|99001328|27/04/2026
TRP-00460|Iquitos|Cusco|174.62|3|completado|Renato Velasquez|73683041|10111429|14/04/2026
TRP-00461|Chiclayo|Barcelona|175.55|3|completado|Renato Velasquez|73683041|21323530|09/03/2026
TRP-00462|Berlin|Trujillo|174.98|3|completado|Renato Velasquez|73683041|32434631|31/03/2026
TRP-00463|Junin|Rome|175.6|1|completado|Renato Velasquez|73683041|43545732|02/05/2026
TRP-00464|Junin|Huanuco|176.45|1|completado|Renato Velasquez|73683041|54656833|11/03/2026
TRP-00465|Rome|Cajamarca|178.68|2|completado|Renato Velasquez|73683041|65767934|22/04/2026
TRP-00466|Paris|Lima|42.42|2|completado|Walter Vargas|34106147|76879035|06/03/2026
TRP-00467|Cusco|Piura|40.16|3|completado|Walter Vargas|34106147|87990136|16/05/2026
TRP-00468|Berlin|Trujillo|41.97|2|completado|Walter Vargas|34106147|98901237|18/04/2026
TRP-00469|Rome|Huanuco|40.82|3|completado|Walter Vargas|34106147|12012338|07/05/2026
TRP-00470|Chiclayo|Cusco|41.51|2|completado|Walter Vargas|34106147|23123439|21/03/2026
TRP-00471|Huancayo|Milan|39.8|3|completado|Walter Vargas|34106147|34234540|14/05/2026
TRP-00472|Huanuco|Madrid|39.75|2|completado|Walter Vargas|34106147|45345641|22/03/2026
TRP-00473|Berlin|Piura|42.13|1|completado|Walter Vargas|34106147|56456742|17/05/2026
TRP-00474|London|Madrid|40.65|1|completado|Walter Vargas|34106147|67567843|15/05/2026
TRP-00475|Iquitos|Chiclayo|39.88|3|completado|Walter Vargas|34106147|78678944|13/05/2026
TRP-00476|Piura|Tacna|40.14|3|completado|Walter Vargas|34106147|89789045|11/05/2026
TRP-00477|Milan|Trujillo|42.53|1|completado|Walter Vargas|34106147|90890146|15/04/2026
TRP-00478|Cajamarca|Rome|42.28|2|completado|Walter Vargas|34106147|10901247|10/04/2026
TRP-00479|Barcelona|Lima|40.46|1|completado|Walter Vargas|34106147|21012348|26/04/2026
TRP-00480|Junin|Cajamarca|121.92|2|completado|Adrian Quiroz|18934829|32123449|16/03/2026
TRP-00481|Huanuco|Arequipa|122.76|1|completado|Adrian Quiroz|18934829|43234550|30/03/2026
TRP-00482|London|Tacna|121.69|3|completado|Adrian Quiroz|18934829|54345651|14/05/2026
TRP-00483|Huancayo|Junin|123.21|2|completado|Adrian Quiroz|18934829|65456752|16/04/2026
TRP-00484|Arequipa|Piura|125.62|1|completado|Adrian Quiroz|18934829|76567853|07/03/2026
TRP-00485|Paris|Chiclayo|124.73|1|completado|Wagner Gomez|82253653|87678954|30/03/2026
TRP-00486|Trujillo|Cajamarca|124.57|2|completado|Wagner Gomez|82253653|98789055|03/05/2026
TRP-00487|Lima|Rome|125.63|1|completado|Wagner Gomez|82253653|12890156|14/04/2026
TRP-00488|Huancayo|Cajamarca|125.71|3|completado|Wagner Gomez|82253653|23901257|14/05/2026
TRP-00489|Chiclayo|Berlin|124.87|1|completado|Wagner Gomez|82253653|34012358|14/05/2026
TRP-00490|Berlin|Rome|124.5|3|completado|Wagner Gomez|82253653|45123459|14/03/2026
TRP-00491|Paris|Cusco|124.91|2|completado|Wagner Gomez|82253653|56234560|22/03/2026
TRP-00492|Berlin|Iquitos|123.76|3|completado|Wagner Gomez|82253653|67345661|27/04/2026
TRP-00493|Junin|Milan|124.5|1|completado|Wagner Gomez|82253653|78456762|17/05/2026
TRP-00494|Amsterdam|Lima|125.76|3|completado|Wagner Gomez|82253653|89567863|04/04/2026
TRP-00495|Cusco|Junin|126.49|3|completado|Wagner Gomez|82253653|90678964|12/03/2026
TRP-00496|Chiclayo|Huanuco|125.84|3|completado|Wagner Gomez|82253653|10789065|14/05/2026
TRP-00497|Piura|Tacna|124.86|3|completado|Wagner Gomez|82253653|21890166|05/05/2026
TRP-00498|London|Lima|126.2|3|completado|Wagner Gomez|82253653|32901267|12/04/2026
TRP-00499|Junin|Chiclayo|124.97|2|completado|Wagner Gomez|82253653|43012368|27/04/2026
TRP-00500|Berlin|Milan|145.15|1|completado|Eduardo Pacheco|70894559|54123469|26/03/2026
TRP-00501|Junin|London|146.4|3|completado|Eduardo Pacheco|70894559|65234570|15/03/2026
TRP-00502|Huancayo|Huanuco|145.88|1|completado|Eduardo Pacheco|70894559|76345671|27/03/2026
TRP-00503|Lima|Tacna|146.39|3|completado|Eduardo Pacheco|70894559|87456772|16/05/2026
TRP-00504|Chiclayo|Lima|145.78|1|completado|Eduardo Pacheco|70894559|98567873|26/03/2026
TRP-00505|Lima|Trujillo|146.31|3|completado|Eduardo Pacheco|70894559|12678974|30/03/2026
TRP-00506|Amsterdam|Trujillo|143.49|2|completado|Eduardo Pacheco|70894559|23789075|14/03/2026
TRP-00507|Cajamarca|London|70.3|1|completado|Anibal Gomez|82377171|34890176|07/03/2026
TRP-00508|Trujillo|Junin|67.89|2|completado|Anibal Gomez|82377171|45901277|16/03/2026
TRP-00509|Amsterdam|Rome|69.1|1|completado|Anibal Gomez|82377171|56012378|04/03/2026
TRP-00510|Amsterdam|Iquitos|68.77|1|completado|Anibal Gomez|82377171|67123479|12/04/2026
TRP-00511|Madrid|Lima|70.71|2|completado|Anibal Gomez|82377171|78234580|10/03/2026
TRP-00512|Lima|Iquitos|70.6|3|completado|Anibal Gomez|82377171|89345681|02/05/2026
TRP-00513|Paris|Lima|68.72|2|completado|Anibal Gomez|82377171|90456782|28/03/2026
TRP-00514|Chiclayo|Paris|67.71|1|completado|Anibal Gomez|82377171|10567883|01/04/2026
TRP-00515|Madrid|Junin|24.01|1|completado|Junior Ccahuana|96628699|21678984|17/03/2026
TRP-00516|Junin|Tacna|25.38|3|completado|Junior Ccahuana|96628699|32789085|31/03/2026
TRP-00517|Iquitos|Trujillo|23.78|1|completado|Junior Ccahuana|96628699|43890186|11/04/2026
TRP-00518|Barcelona|Huancayo|23.98|2|completado|Junior Ccahuana|96628699|54901287|13/04/2026
TRP-00519|Cusco|Junin|25.3|2|completado|Junior Ccahuana|96628699|65012388|23/04/2026
TRP-00520|Huancayo|Berlin|25.02|2|completado|Junior Ccahuana|96628699|76123489|19/05/2026
TRP-00521|Amsterdam|Madrid|23.16|3|completado|Junior Ccahuana|96628699|87234590|13/03/2026
TRP-00522|Paris|Junin|25.84|3|completado|Junior Ccahuana|96628699|98345691|05/04/2026
TRP-00523|Cajamarca|Barcelona|24.33|1|completado|Junior Ccahuana|96628699|12456792|14/05/2026
TRP-00524|Junin|Huanuco|103.01|2|completado|Roberto Montoya|83099612|23567893|25/03/2026
TRP-00525|Trujillo|Chiclayo|103.62|1|completado|Roberto Montoya|83099612|34678994|06/05/2026
TRP-00526|Huancayo|Tacna|103.27|1|completado|Roberto Montoya|83099612|45789095|25/03/2026
TRP-00527|Chiclayo|Cajamarca|103.33|2|completado|Roberto Montoya|83099612|56890196|04/03/2026
TRP-00528|Arequipa|Chiclayo|103.72|1|completado|Roberto Montoya|83099612|67901297|23/03/2026
TRP-00529|Cusco|Rome|103.4|3|completado|Roberto Montoya|83099612|78012398|12/04/2026
TRP-00530|Paris|Huancayo|102.95|1|completado|Roberto Montoya|83099612|89123499|08/05/2026
TRP-00531|Madrid|Iquitos|104.73|2|completado|Roberto Montoya|83099612|90234500|12/04/2026
TRP-00532|Rome|Cusco|102.75|3|completado|Roberto Montoya|83099612|10345601|11/04/2026
TRP-00533|Arequipa|Iquitos|102.82|3|completado|Roberto Montoya|83099612|21456702|07/03/2026
TRP-00534|Iquitos|Cusco|133.21|1|completado|Maicol Carrasco|82219493|32567803|17/03/2026
TRP-00535|Trujillo|Madrid|134.17|2|completado|Maicol Carrasco|82219493|43678904|17/04/2026
TRP-00536|Rome|Barcelona|133.15|3|completado|Maicol Carrasco|82219493|54789005|18/03/2026
TRP-00537|Lima|Arequipa|131.37|2|completado|Maicol Carrasco|82219493|65890106|01/05/2026
TRP-00538|Iquitos|Tacna|163.18|1|completado|Lenin Loayza|48924899|76901207|19/05/2026
TRP-00539|Paris|Piura|162.01|3|completado|Lenin Loayza|48924899|87012308|11/05/2026
TRP-00540|Piura|Berlin|163.14|1|completado|Lenin Loayza|48924899|98123409|13/03/2026
TRP-00541|Barcelona|Arequipa|163.2|1|completado|Lenin Loayza|48924899|12234510|07/05/2026
TRP-00542|Rome|Arequipa|165.97|3|completado|Lenin Loayza|48924899|23345611|10/03/2026
TRP-00543|Berlin|Paris|132.5|2|completado|Deyvis Ccahuana|68764710|34456712|10/05/2026
TRP-00544|Iquitos|Cusco|132.32|1|completado|Deyvis Ccahuana|68764710|45567813|18/05/2026
TRP-00545|Tacna|Chiclayo|130.74|2|completado|Deyvis Ccahuana|68764710|56678914|09/05/2026
TRP-00546|Huancayo|London|129.83|3|completado|Deyvis Ccahuana|68764710|67789015|02/04/2026
TRP-00547|Lima|Huancayo|132.61|3|completado|Deyvis Ccahuana|68764710|78890116|12/03/2026
TRP-00548|Tacna|Lima|131.16|3|completado|Deyvis Ccahuana|68764710|89901217|29/03/2026
